InsectSpecies,Mean_Converted_Value
Acromyrmex echinatior,23.7
Aedes aegypti,1.0027
Anabrus simplex,1370
Anastrepha fraterculus,0.94
Anastrepha ludens,11.37
Aphis gossypii,0.29
Apis andreniformis,
Apis cerana,34.44856364
Apis dorsata,160
Apis florea,30.2
Apis mellifera,78.76689935
Ariadne merione,
Atta cephalotes,
Bactrocera minax,
Blattella germanica,
Bombus pascuorum,200.636172
Bombus terrestris,275.6965044
Bombyx mori,1165
Caligo atreus,
Caligo brasiliensis,
Centris atripes,150.770934
Cephalotes rohweri,
Ceratitis capitata,2.737878965
Ceratitis quilicii,
Cithaerias pireta,50.531
Coelopa frigida,
Copris incertus,
Coptotermes formosanus,2.95
Cotinis nitida,
Cryptotermus spp.,
Culex nigripalpus,
Culex tarsalis,2.23
Culicoides nubeculosus,
Culicoides sonorensis,
Danaus chrysippus,102.737
Diacamma sp.,
Diploptera punctata,205.6728867
Drosophila melanogaster,1.204138223
Drosophila nigrosparsa,
Dysdercus concinnus,
Dysdercus obliquus,
Ergaula capucina,2.442551906
Eurema blanda,58.847
Euschistus burchellii,
Euschistus hamatum,
Euschistus heros,
Galleria mellonella,65.65299413
Gangara thyrsis,35.285
Geniotrigona thoracica,
Gromphadorhina portentosa,10610
Gryllodes sigillatus,
Helicoverpa zea,
Hermetia illucens,
Heterotrigona itama,184.0866876
Lasius,1.38
Lasius claviger,2.359233113
Lasius umbratus,2.827466101
Melitaea cinxia,55.0355
Musca domestica,14.0491606
Orthetrum pruinosum,657.3375382
Orthetrum sabina,524.095764
Panchlora nivea,
Pantala flavescens,38.97776161
Paraplecta sp. Kenya,
Paratrigona lineata,
Paryphthimoides terrestris,
Periplaneta americana,900
Periplaneta fuliginosa,65.39997826
Phanaeus difformis,
Phanaeus vindex,
Phlebotomus papatasi,2.278783407
Phlebotomus similis,
Phlebotomus tobbi,
Pieris brassicae,83.795
Pieris rapae,61.05701009
Piezodorus guildinii,
Podisus maculiventris,35.24500483
Polistes chinensis,
Polistes humilis,
Polyphaga aegyptiaca,
Prociphilus,
Prociphilus erigeronensis,
Propylea japonica,30.54185185
Pseudatomoscelis seriatus,1.112043342
Pycnoscelus surinamensis,
Reticulitermes flavipes,2.97
Rhizoecus,
Schistocerca gregaria,1690
Scyphophorus acupunctatus ,
Spalgis epeus,39.443
Spodoptera frugiperda,
Spodoptera littoralis,165.9888204
Symploce pallens,
Taygetis laches,
Tetragonula fuscobalteata,
Trigona hyalinata,
Trigona spinipes,35.37732376
Vespula vulgaris,
Zeugodacus cucurbitae,
(空白),
